referral_episode_id,event_id,session_type,first_timestamp,last_timestamp,car_numbers,car_count,location,incident_family,incident_lap_explicit,message_lap_min,message_lap_max,process_statuses,terminal_status,message_count,messages_json,episode_review_status,linked_to_primary_adjudication
referral-572532d45b619c08,2018-bhr,Race,2018-04-08 08:27:48-07:00,2018-04-08 08:27:48-07:00,20|27,2,,other,,9,9,no_further_action,no_further_action,1,"[""INCIDENT INVOLVING CARS 27 (HUL) AND 20 (MAG) NOTED - NO FURTHER ACTION""]",algorithmic_pending_human_validation,False
referral-9435811874b02825,2018-bhr,Race,2018-04-08 09:16:12-07:00,2018-04-08 09:16:12-07:00,7,1,,unsafe_release,,39,39,post_session_investigation,post_session_investigation,1,"[""INCIDENT INVOLVING CAR 7 (RAI) WILL BE INVESTIGATED AFTER THE RACE - UNSAFE RELEASE""]",algorithmic_pending_human_validation,False
referral-396f655648060e9d,2018-bra,Race,2018-11-11 10:08:50-08:00,2018-11-11 10:22:44-08:00,31|33,2,Turn 1,causing_collision,,45,57,investigation|sanction_announced,sanction_announced,2,"[""TURN 1 INCIDENT INVOLVING CARS 31 (OCO) AND 33 (VER) UNDER INVESTIGATION - CAUSING A COLLISION"", ""10 SECOND STOP/GO PENALTY FOR CAR 31 (OCO) - CAUSING A COLLISION""]",algorithmic_pending_human_validation,True
referral-69d1857e58509c5e,2018-bra,Race,2018-11-11 10:30:15-08:00,2018-11-11 10:37:25-08:00,14,1,,blue_flags,,63,69,investigation|sanction_announced,sanction_announced,2,"[""INCIDENT INVOLVING CAR 14 (ALO) UNDER INVESTIGATION - IGNORING BLUE FLAGS"", ""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - IGNORING BLUE FLAGS""]",algorithmic_pending_human_validation,False
referral-0b3d85d02b63deaa,2018-bra,Race,2018-11-11 10:30:37-08:00,2018-11-11 10:30:37-08:00,2,1,,blue_flags,,63,63,investigation,investigation,1,"[""INCIDENT INVOLVING CAR 2 (VAN) UNDER INVESTIGATION - IGNORING BLUE FLAGS""]",algorithmic_pending_human_validation,False
referral-6aae47e17c294ba7,2018-can,Race,2018-06-10 11:22:01-07:00,2018-06-10 11:23:27-07:00,18|28,2,Turn 6,other,,5,6,investigation|no_further_action,no_further_action,2,"[""TURN 6 INCIDENT INVOLVING CARS 18 (STR) AND 28 (HAR) UNDER INVESTIGATION"", ""TURN 6 INCIDENT INVOLVING CARS 18 (STR) AND 28 (HAR) - NO FURTHER ACTION""]",algorithmic_pending_human_validation,True
referral-db028cc9d0a1469a,2018-can,Race,2018-06-10 11:22:27-07:00,2018-06-10 11:30:53-07:00,11|55,2,Turn 1,other,,6,12,noted|investigation|no_further_action,no_further_action,3,"[""TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 55 (SAI) NOTED"", ""TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 55 (SAI) UNDER INVESTIGATION"", ""TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 55 (SAI) - NO FURTHER ACTION""]",algorithmic_pending_human_validation,True
referral-5251ba36e7cfe3db,2018-can,Race,2018-06-10 12:19:24-07:00,2018-06-10 12:21:28-07:00,8|31,2,Turn 13,other,,51,52,noted|no_investigation,no_investigation,2,"[""TURN 13 INCIDENT INVOLVING CARS 8 (GRO) AND 31 (OCO) NOTED"", ""TURN 13 INCIDENT INVOLVING CARS 8 (GRO) AND 31 (OCO) - NO INVESTIGATION NECESSARY""]",algorithmic_pending_human_validation,False
referral-da0e54c0187d0fbe,2018-chn,Race,2018-04-15 00:06:19-07:00,2018-04-15 00:15:46-07:00,10|28,2,Turn 14,causing_collision,,32,36,investigation|sanction_announced,sanction_announced,2,"[""TURN 14 INCIDENT INVOLVING CARS 10 (GAS) AND 28 (HAR) UNDER INVESTIGATION - CAUSING A COLLISION"", ""10 SECOND TIME PENALTY FOR CAR 10 (GAS) - CAUSING A COLLISION""]",algorithmic_pending_human_validation,True
referral-07b5cb573e331c13,2018-chn,Race,2018-04-15 00:29:39-07:00,2018-04-15 00:32:21-07:00,5|33,2,Turn 14,causing_collision,,44,46,investigation|sanction_announced,sanction_announced,2,"[""TURN 14 INCIDENT INVOLVING CARS 5 (VET) AND 33 (VER) UNDER INVESTIGATION - CAUSING A COLLISION"", ""10 SECOND TIME PENALTY FOR CAR 33 (VER) - CAUSING A COLLISION""]",algorithmic_pending_human_validation,True
referral-d2ce2b733eea398b,2018-chn,Race,2018-04-15 00:48:32-07:00,2018-04-15 00:52:15-07:00,5|14,2,Turn 3,other,,56,56,noted|no_investigation,no_investigation,2,"[""TURN 3 INCIDENT INVOLVING CARS 5 (VET) AND 14 (ALO) NOTED"", ""TURN 3 INCIDENT INVOLVING CARS 5 (VET) AND 14 (ALO) - NO INVESTIGATION NECESSARY""]",algorithmic_pending_human_validation,False
referral-3f0217ade41b31fd,2018-deu,Race,2018-07-22 07:34:32-07:00,2018-07-22 07:39:03-07:00,55,1,,other,,59,62,investigation|sanction_announced,sanction_announced,2,"[""INCIDENT INVOLVING CAR 55 (SAI) UNDER INVESTIGATION - OVERTAKING WHILE THE SAFETY CAR WAS DEPLOYED"", ""10 SECOND TIME PENALTY FOR CAR 55 (SAI) - OVERTAKING WHILE THE SAFETY CAR WAS DEPLOYED""]",algorithmic_pending_human_validation,False
referral-2192b4a0fb9bbe36,2018-esp,Race,2018-05-13 06:24:10-07:00,2018-05-13 06:24:10-07:00,8,1,Turn 3,other,,5,5,post_session_investigation,post_session_investigation,1,"[""TURN 3 INCIDENT INVOLVING CAR 8 (GRO) WILL BE INVESTIGATED AFTER THE RACE""]",algorithmic_pending_human_validation,False
referral-3531ba0a187b5c8c,2018-esp,Race,2018-05-13 06:29:41-07:00,2018-05-13 06:30:46-07:00,2,1,Turn 2,other,,9,10,investigation|sanction_announced,sanction_announced,2,"[""TURN 2 INCIDENT INVOLVING CAR 2 (VAN) UNDER INVESTIGATION - FAILING TO STAY TO THE LEFT OF THE BOLLARD AT TURN 2"", ""5 SECOND TIME PENALTY FOR CAR 2 (VAN) - FAILING TO STAY TO THE LEFT OF THE BOLLARD AT TURN 2 ON LAP 1""]",algorithmic_pending_human_validation,False
referral-3c69a1bc7c5f01a1,2018-fra,Race,2018-06-24 07:18:08-07:00,2018-06-24 07:31:55-07:00,5|77,2,,causing_collision,,2,9,investigation|sanction_announced,sanction_announced,2,"[""INCIDENT INVOLVING CARS 5 (VET) AND 77 (BOT) UNDER INVESTIGATION - CAUSING A COLLISION"", ""5 SECOND TIME PENALTY FOR CAR 5 (VET) - CAUSING A COLLISION""]",algorithmic_pending_human_validation,True
referral-b8d75cb18fc7f059,2018-fra,Race,2018-06-24 07:19:09-07:00,2018-06-24 07:23:14-07:00,10|31,2,,causing_collision,,3,5,investigation|post_session_investigation,post_session_investigation,2,"[""INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) UNDER INVESTIGATION - CAUSING A COLLISION"", ""INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) WILL BE INVESTIGATED AFTER THE RACE""]",algorithmic_pending_human_validation,True
referral-3a96d4ac18554982,2018-fra,Race,2018-06-24 07:36:20-07:00,2018-06-24 07:36:20-07:00,8,1,Turn 4,gaining_advantage_off_track,1.0,12,12,investigation,investigation,1,"[""LAP 1 TURN 4 INCIDENT INVOLVING CAR 8 (GRO) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE""]",algorithmic_pending_human_validation,False
referral-572ef7f679a5469a,2018-fra,Race,2018-06-24 07:42:10-07:00,2018-06-24 07:42:10-07:00,35,1,,other,,16,16,investigation,investigation,1,"[""INCIDENT INVOLVING CAR 35 (SIR) UNDER INVESTIGATION - DRIVING UNNECESSARILY SLOWLY BEHIND THE SAFETY CAR""]",algorithmic_pending_human_validation,False
referral-f3f4ce136763d556,2018-fra,Race,2018-06-24 07:59:49-07:00,2018-06-24 07:59:49-07:00,35,1,,other,,27,27,sanction_announced,sanction_announced,1,"[""5 SECOND TIME PENALTY FOR CAR 35 (SIR) - DRIVING UNNECESSARILY SLOWLY BEHIND THE SAFETY CAR""]",algorithmic_pending_human_validation,False
referral-572ef9f566c02a47,2018-fra,Race,2018-06-24 08:00:47-07:00,2018-06-24 08:07:43-07:00,8,1,Turn 4,causing_collision,1.0,27,32,no_further_action|investigation|sanction_announced,sanction_announced,3,"[""LAP 1 TURN 4 INCIDENT INVOLVING CAR 8 (GRO) - NO FURTHER ACTION"", ""LAP 1 TURN 1 INCIDENT INVOLVING CAR 8 (GRO) UNDER INVESTIGATION - CAUSING A COLLISION"", ""5 SECOND TIME PENALTY FOR CAR 8 (GRO) - CAUSING A COLLISION""]",algorithmic_pending_human_validation,True
referral-17c7bd3f3371f7ac,2018-gbr,Race,2018-07-08 06:17:01-07:00,2018-07-08 06:17:01-07:00,,0,Turn 3,other,,3,3,investigation,investigation,1,"[""TURN 3 INCIDENT UNDER INVESTIGATION""]",algorithmic_pending_human_validation,False
referral-e1b8f833e205b138,2018-gbr,Race,2018-07-08 06:22:55-07:00,2018-07-08 06:22:55-07:00,7,1,,causing_collision,,7,7,sanction_announced,sanction_announced,1,"[""10 SECOND TIME PENALTY FOR CAR 7 (RAI) - CAUSING A COLLISION""]",algorithmic_pending_human_validation,True
referral-54d4208235326886,2018-gbr,Race,2018-07-08 06:25:11-07:00,2018-07-08 06:30:47-07:00,8|20,2,Turn 3,causing_collision,1.0,8,12,investigation|no_further_action,no_further_action,2,"[""LAP 1 TURN 3 INCIDENT INVOLVING CARS 8 (GRO) AND 20 (MAG) UNDER INVESTIGATION - CAUSING A COLLISION"", ""LAP 1 TURN 3 INCIDENT INVOLVING CARS 8 (GRO) AND 20 (MAG) - NO FURTHER ACTION""]",algorithmic_pending_human_validation,True
referral-40797d7e456228cd,2018-gbr,Race,2018-07-08 06:49:52-07:00,2018-07-08 06:49:52-07:00,16,1,,unsafe_release,18.0,24,24,post_session_investigation,post_session_investigation,1,"[""LAP 18 INCIDENT INVOLVING CAR 16 (LEC) WILL BE INVESTIGATED AFTER THE RACE - CAR RELEASED IN AN UNSAFE CONDITION""]",algorithmic_pending_human_validation,False
referral-735cdd9a62f7643d,2018-gbr,Race,2018-07-08 07:20:11-07:00,2018-07-08 07:20:11-07:00,8|55,2,Turn 9,other,38.0,40,40,post_session_investigation,post_session_investigation,1,"[""LAP 38 TURN 9 INCIDENT INVOLVING CARS 8 (GRO) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE RACE""]",algorithmic_pending_human_validation,True
referral-bc126f304171b19a,2018-gbr,Race,2018-07-08 07:42:30-07:00,2018-07-08 07:42:30-07:00,10|11,2,Turn 17,other,51.0,52,52,investigation,investigation,1,"[""LAP 51 TURN 17 INCIDENT INVOLVING CARS 10 (GAS) AND 11 (PER) UNDER INVESTIGATION""]",algorithmic_pending_human_validation,True
referral-698725cd245deeb6,2018-hun,Race,2018-07-29 07:46:37-07:00,2018-07-29 07:46:37-07:00,5|77,2,Turn 2,other,,68,68,noted,noted,1,"[""TURN 2 INCIDENT INVOLVING CARS 5 (VET) AND 77 (BOT) NOTED""]",algorithmic_pending_human_validation,False
referral-57858ca3de2f83c6,2018-hun,Race,2018-07-29 07:47:53-07:00,2018-07-29 07:47:53-07:00,3|77,2,Turn 1,other,,69,69,post_session_investigation,post_session_investigation,1,"[""TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 77 (BOT) WILL BE INVESTIGATED AFTER THE RACE""]",algorithmic_pending_human_validation,True
referral-7eee0a9c2ce4a186,2018-ita,Race,2018-09-02 06:16:54-07:00,2018-09-02 06:22:40-07:00,5|44,2,Turn 4,other,,2,6,investigation|no_further_action,no_further_action,2,"[""TURN 4 INCIDENT INVOLVING CARS 5 (VET) AND 44 (HAM) UNDER INVESTIGATION"", ""TURN 4 INCIDENT INVOLVING CARS 5 (VET) AND 44 (HAM) - NO FURTHER ACTION""]",algorithmic_pending_human_validation,True
referral-5d5df20eacae8c4b,2018-ita,Race,2018-09-02 07:17:00-07:00,2018-09-02 07:17:00-07:00,33|77,2,Turn 1,other,,44,44,investigation,investigation,1,"[""TURN 1 INCIDENT INVOLVING CARS 33 (VER) AND 77 (BOT) UNDER INVESTIGATION""]",algorithmic_pending_human_validation,True
