source_message_index,event_id,session_type,message_timestamp,message_lap,message,process_status,car_numbers,car_count,location,incident_lap_explicit,incident_family
4015,2020-gbr,Race,2020-08-02 07:19:09-07:00,38.0,TURN 6 INCIDENT INVOLVING CARS 8 (GRO) AND 3 (RIC) NOTED - MOVING UNDER BRAKING,noted,3|8,2,Turn 6,,moving_under_braking
4017,2020-gbr,Race,2020-08-02 07:26:16-07:00,43.0,TURN 15 INCIDENT INVOLVING CARS 10 (GAS) AND 5 (VET) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,noted,5|10,2,Turn 15,,gaining_advantage_off_track
4018,2020-gbr,Race,2020-08-02 07:27:03-07:00,43.0,TURN 15 INCIDENT INVOLVING CARS 10 (GAS) AND 5 (VET) - NO INVESTIGATION NECESSARY,no_investigation,5|10,2,Turn 15,,other
4019,2020-gbr,Race,2020-08-02 07:27:54-07:00,44.0,TURN 6 INCIDENT INVOLVING CARS 8 (GRO) AND 3 (RIC) WILL BE INVESTIGATED AFTER THE RACE - MOVING UNDER BRAKING,post_session_investigation,3|8,2,Turn 6,,moving_under_braking
4043,2020-hun,Race,2020-07-19 06:18:36-07:00,4.0,INCIDENT INVOLVING CAR 7 (RAI) UNDER INVESTIGATION - OUT OF POSITION AT THE START,investigation,7,1,,,other
4048,2020-hun,Race,2020-07-19 06:20:53-07:00,5.0,PIT LANE INCIDENT INVOLVING CARS 6 (LAT) AND 55 (SAI) NOTED,noted,6|55,2,Pit Lane,,other
4051,2020-hun,Race,2020-07-19 06:22:58-07:00,7.0,INCIDENT INVOLVING CARS 6 (LAT) AND 55 (SAI) UNDER INVESTIGATION - UNSAFE RELEASE,investigation,6|55,2,,,unsafe_release
4052,2020-hun,Race,2020-07-19 06:23:25-07:00,7.0,5 SECOND TIME PENALTY FOR CAR 7 (RAI) - OUT OF POSITION ON THE GRID,sanction_announced,7,1,,,other
4053,2020-hun,Race,2020-07-19 06:27:25-07:00,10.0,5 SECOND TIME PENALTY FOR CAR 6 (LAT) - UNSAFE RELEASE,sanction_announced,6,1,,,unsafe_release
4147,2020-ita,Race,2020-09-06 06:15:52-07:00,2.0,"LAP1, TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 10 (GAS) NOTED",noted,10|23,2,Turn 1,,other
4149,2020-ita,Race,2020-09-06 06:17:58-07:00,4.0,"LAP2, TURN 1 INCIDENT INVOLVING CARS 23 (ALB) AND 8 (GRO) NOTED",noted,8|23,2,Turn 1,,other
4150,2020-ita,Race,2020-09-06 06:18:30-07:00,4.0,TURN 1 INCIDENT INVOLVING CARS 10 (GAS) AND 23 (ALB) - NO INVESTIGATION NECESSARY,no_investigation,10|23,2,Turn 1,,other
4151,2020-ita,Race,2020-09-06 06:19:43-07:00,5.0,TURN 1 INCIDENT INVOLVING CARS 8 (GRO) AND 23 (ALB) UNDER INVESTIGATION,investigation,8|23,2,Turn 1,,other
4153,2020-ita,Race,2020-09-06 06:23:43-07:00,8.0,5 SECOND TIME PENALTY FOR CAR 23 (ALB) - FAILING TO LEAVE A CAR WIDTH TO THE EDGE OF THE TRACK,sanction_announced,23,1,,,other
4167,2020-ita,Race,2020-09-06 06:44:19-07:00,21.0,INCIDENT INVOLVING CARS 44 (HAM) AND 99 (GIO) UNDER INVESTIGATION - ENTERING THE PIT LANE WHEN CLOSED,investigation,44|99,2,Pit Lane,,other
4173,2020-ita,Race,2020-09-06 06:50:23-07:00,25.0,CORRECTION: INCIDENT INVOLVING CARS 44 (HAM) AND 99 (GIO) UNDER INVESTIGATION - ENTERING THE PIT LANE WHEN CLOSED,investigation,44|99,2,Pit Lane,,other
4176,2020-ita,Race,2020-09-06 06:51:32-07:00,25.0,10 SECOND STOP/GO PENALTY FOR CAR 99 (GIO) - ENTERING THE PIT LANE WHEN CLOSED,sanction_announced,99,1,Pit Lane,,other
4184,2020-ita,Race,2020-09-06 06:57:23-07:00,27.0,10 SECOND STOP/GO PENALTY FOR CAR 44 (HAM) - ENTERING THE PIT LANE WHEN CLOSED,sanction_announced,44,1,Pit Lane,,other
4185,2020-ita,Race,2020-09-06 06:59:05-07:00,27.0,INCIDENT INVOLVING CAR 4 (NOR) UNDER INVESTIGATION - DRIVING UNNECESSARILY SLOWING WHEN ENTERING PIT LANE,investigation,4,1,Pit Lane,,other
4186,2020-ita,Race,2020-09-06 07:05:47-07:00,27.0,TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 33 (VER) NOTED,noted,11|33,2,Turn 1,,other
4189,2020-ita,Race,2020-09-06 07:14:46-07:00,27.0,INCIDENT INVOLVING CAR 4 (NOR) - NO FURTHER ACTION ,no_further_action,4,1,,,other
4192,2020-ita,Race,2020-09-06 07:23:15-07:00,28.0,TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 33 (VER) UNDER INVESTIGATION,investigation,11|33,2,Turn 1,,other
4198,2020-ita,Race,2020-09-06 07:27:42-07:00,30.0,TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 33 (VER) - NO FURTHER ACTION ,no_further_action,11|33,2,Turn 1,,other
4219,2020-por,Race,2020-10-25 06:16:29-07:00,3.0,TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 33 (VER) NOTED,noted,11|33,2,Turn 4,,other
4223,2020-por,Race,2020-10-25 06:21:03-07:00,6.0,TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 33 (VER) - NO INVESTIGATION NECESSARY,no_investigation,11|33,2,Turn 4,,other
4235,2020-por,Race,2020-10-25 06:38:41-07:00,19.0,TURN 1 INCIDENT INVOLVING CARS 4 (NOR) AND 18 (STR) NOTED,noted,4|18,2,Turn 1,,other
4236,2020-por,Race,2020-10-25 06:39:15-07:00,19.0,TURN 1 INCIDENT INVOLVING CARS 4 (NOR) AND 18 (STR) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,4|18,2,Turn 1,,causing_collision
4242,2020-por,Race,2020-10-25 06:45:07-07:00,24.0,5 SECOND TIME PENALTY FOR CAR 18 (STR) - CAUSING A COLLISION,sanction_announced,18,1,,,causing_collision
4256,2020-por,Race,2020-10-25 06:54:26-07:00,30.0,5 SECOND TIME PENALTY FOR CAR 18 (STR) - TRACK LIMITS,sanction_announced,18,1,,,track_limits
4286,2020-por,Race,2020-10-25 07:09:24-07:00,41.0,5 SECOND TIME PENALTY FOR CAR 8 (GRO) - TRACK LIMITS,sanction_announced,8,1,,,track_limits
4291,2020-por,Race,2020-10-25 07:14:25-07:00,45.0,INCIDENT INVOLVING CAR 26 (KVY) UNDER INVESTIGATION - IGNORING BLUE FLAGS,investigation,26,1,,,blue_flags
4300,2020-por,Race,2020-10-25 07:20:15-07:00,49.0,INCIDENT INVOLVING CAR 26 (KVY) - NO FURTHER ACTION ,no_further_action,26,1,,,other
4311,2020-por,Race,2020-10-25 07:27:31-07:00,55.0,5 SECOND TIME PENALTY FOR CAR 26 (KVY) - TRACK LIMITS,sanction_announced,26,1,,,track_limits
4328,2020-por,Race,2020-10-25 07:40:15-07:00,64.0,TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 10 (GAS) NOTED,noted,10|11,2,Turn 1,,other
4330,2020-por,Race,2020-10-25 07:42:13-07:00,66.0,TURN 1 INCIDENT INVOLVING CARS 10 (GAS) AND 11 (PER) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,10|11,2,Turn 1,,other
4332,2020-rus,Race,2020-09-27 03:42:00-07:00,1.0,INCIDENT INVOLVING CAR 44 (HAM) UNDER INVESTIGATION - PRACTICE START OUTSIDE OF THE DESIGNATED AREA,investigation,44,1,,,other
4343,2020-rus,Race,2020-09-27 04:29:35-07:00,7.0,5 SECOND TIME PENALTY FOR CAR 44 (HAM) - PRACTICE START VIOLATION 1,sanction_announced,44,1,,,other
4344,2020-rus,Race,2020-09-27 04:30:13-07:00,7.0,5 SECOND TIME PENALTY FOR CAR 44 (HAM) - PRACTICE START VIOLATION 2,sanction_announced,44,1,,,other
4346,2020-rus,Race,2020-09-27 04:31:28-07:00,8.0,TURN 4 INCIDENT INVOLVING CARS 16 (LEC) AND 18 (STR) NOTED,noted,16|18,2,Turn 4,,other
4347,2020-rus,Race,2020-09-27 04:32:37-07:00,9.0,TURN 4 INCIDENT INVOLVING CARS 16 (LEC) AND 18 (STR) - NO INVESTIGATION NECESSARY,no_investigation,16|18,2,Turn 4,,other
4348,2020-rus,Race,2020-09-27 04:33:47-07:00,9.0,TURN 2 INCIDENT INVOLVING CAR 11 (PER) NOTED - FAILING TO FOLLOW THE RACE DIRECTORS INSTRUCTIONS,noted,11,1,Turn 2,,other
4349,2020-rus,Race,2020-09-27 04:35:28-07:00,10.0,TURN 2 INCIDENT INVOLVING CAR 11 (PER) - NO INVESTIGATION NECESSARY,no_investigation,11,1,Turn 2,,other
4352,2020-rus,Race,2020-09-27 05:02:28-07:00,26.0,TURN 2 INCIDENT INVOLVING CAR 3 (RIC) UNDER INVESTIGATION - FAILING TO FOLLOW THE RACE DIRECTORS INSTRUCTIONS,investigation,3,1,Turn 2,,other
4353,2020-rus,Race,2020-09-27 05:05:05-07:00,28.0,5 SECOND TIME PENALTY FOR CAR 3 (RIC) - FAILING TO FOLLOW THE RACE DIRECTORS INSTRUCTIONS,sanction_announced,3,1,,,other
4361,2020-rus,Race,2020-09-27 05:28:41-07:00,42.0,TURN 2 INCIDENT INVOLVING CARS 8 (GRO) AND 5 (VET) NOTED,noted,5|8,2,Turn 2,,other
4373,2020-rus,Race,2020-09-27 05:36:21-07:00,47.0,TURN 2 INCIDENT INVOLVING CAR 8 (GRO) UNDER INVESTIGATION - FAILING TO FOLLOW THE RACE DIRECTORS INSTRUCTIONS,investigation,8,1,Turn 2,,other
4375,2020-rus,Race,2020-09-27 05:37:15-07:00,47.0,TURN 2 INCIDENT INVOLVING CAR 8 (GRO) - NO FURTHER ACTION ,no_further_action,8,1,Turn 2,,other
4385,2020-rus,Race,2020-09-27 05:43:59-07:00,51.0,TURN 2 INCIDENT INVOLVING CAR 23 (ALB) UNDER INVESTIGATION - FAILING TO FOLLOW THE RACE DIRECTORS INSTRUCTIONS,investigation,23,1,Turn 2,,other
4391,2020-rus,Race,2020-09-27 05:48:09-07:00,53.0,5 SECOND TIME PENALTY FOR CAR 23 (ALB) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,sanction_announced,23,1,,,other
4402,2020-skh,Race,2020-12-06 09:16:09-08:00,3.0,"TURN 4 INCIDENT INVOLVING CARS 11 (PER),16 (LEC) AND 33 (VER) NOTED",noted,11|16|33,3,Turn 4,,other
4406,2020-skh,Race,2020-12-06 09:22:28-08:00,7.0,"TURN 4 INCIDENT INVOLVING CARS 11 (PER), 16 (LEC) AND 33 (VER) WILL BE INVESTIGATED AFTER THE RACE",post_session_investigation,11|16|33,3,Turn 4,,other
4418,2020-skh,Race,2020-12-06 09:46:55-08:00,33.0,PIT LANE INCIDENT INVOLVING CARS 55 (SAI) AND 10 (GAS) NOTED,noted,10|55,2,Pit Lane,,other
4419,2020-skh,Race,2020-12-06 09:47:33-08:00,33.0,PIT LANE INCIDENT INVOLVING CARS 55 (SAI) AND 10 (GAS)  - NO INVESTIGATION NECESSARY,no_investigation,10|55,2,Pit Lane,,other
4454,2020-skh,Race,2020-12-06 10:13:37-08:00,60.0,PIT LANE INCIDENT INVOLVING CARS 5 (VET) AND 99 (GIO) NOTED,noted,5|99,2,Pit Lane,,other
4477,2020-skh,Race,2020-12-06 10:27:45-08:00,70.0,PIT LAN INCIDENT INVOLVING CARS 5 (VET) AND 99 (GIO) NOTED - NO INVESTIGATION NECESSARY,no_investigation,5|99,2,,,other
4482,2020-skh,Race,2020-12-06 10:37:59-08:00,81.0,INCIDENT INVOLVING CAR 63 (RUS) WILL BE INVESTIGATED AFTER THE RACE - INCORRECT TYRES,post_session_investigation,63,1,,,other
4501,2020-sty,Race,2020-07-12 06:17:33-07:00,3.0,"LAP 1, TURN 3 INCIDENT INVOLVING CARS 5 (VET) AND 16 (LEC) NOTED",noted,5|16,2,Turn 3,1.0,other
4508,2020-sty,Race,2020-07-12 06:21:14-07:00,6.0,INCIDENT INVOLVING CARS 5 (VET) AND 16 (LEC) - NO INVESTIGATION NECESSARY,no_investigation,5|16,2,,,other
4588,2020-sty,Race,2020-07-12 07:37:15-07:00,71.0,TURN 3 INCIDENT INVOLVING CARS 18 (STR) AND 3 (RIC) NOTED,noted,3|18,2,Turn 3,,other
4589,2020-sty,Race,2020-07-12 07:41:29-07:00,71.0,TURN 3 INCIDENT INVOLVING CARS 18 (STR) AND 3 (RIC) UNDER INVESTIGATION,investigation,3|18,2,Turn 3,,other
4601,2020-tur,Race,2020-11-15 02:15:16-08:00,1.0,TURN 1 INCIDENT NOTED,noted,,0,Turn 1,,other
4641,2020-tur,Race,2020-11-15 02:52:07-08:00,21.0,INCIDENT INVOLVING CAR 33 (VER) UNDER INVESTIGATION - CROSSING THE LINE AT PIT EXIT,investigation,33,1,Pit Lane,,other
4653,2020-tur,Race,2020-11-15 03:02:57-08:00,27.0,CROSSING THE WHITE LINE INCIDENT INVOLVING CAR 33 (VER) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,33,1,,,other
4667,2020-tur,Race,2020-11-15 03:19:11-08:00,37.0,PIT LANE INCIDENT INVOLVING CAR 20 (MAG) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,20,1,Pit Lane,,other
4694,2020-tur,Race,2020-11-15 03:27:14-08:00,41.0,TURN 9 INCIDENT INVOLVING CARS 6 (LAT) AND 8 (GRO) NOTED,noted,6|8,2,Turn 9,,other
4762,2020-tus,Race,2020-09-13 06:16:52-07:00,2.0,TURN 2 INCIDENT NOTED,noted,,0,Turn 2,,other
4763,2020-tus,Race,2020-09-13 06:22:20-07:00,5.0,"TURN 2 INCIDENT INVOLVING CARS 7 (RAI), 8 (GRO),10 (GAS), 33 (VER) UNDER INVESTIGATION - CAUSING A COLLISION",investigation,7|8|10|33,4,Turn 2,,causing_collision
4764,2020-tus,Race,2020-09-13 06:23:11-07:00,5.0,TURN 2 INCIDENT INVOLVING CARS 55 (SAI) AND 18 (STR) - NO INVESTIGATION NECESSARY,no_investigation,18|55,2,Turn 2,,other
4773,2020-tus,Race,2020-09-13 06:33:32-07:00,9.0,"PIT STRAIGHT INCIDENT INVOLVING CARS 6 (LAT),20 (MAG) AND 99 (GIO) UNDER INVESTIGATION - CAUSING A COLLISION",investigation,6|20|99,3,,,causing_collision
4774,2020-tus,Race,2020-09-13 06:34:18-07:00,9.0,"TURN 2 INCIDENT INVOLVING CARS 7 (RAI), 8 (GRO), 16 (LEC) AND 33 (VER) - NO FURTHER ACTION ",no_further_action,7|8|16|33,4,Turn 2,,other
4779,2020-tus,Race,2020-09-13 06:54:29-07:00,9.0,"PIT STRAIGHT INCIDENT INVOLVING CARS 6 (LAT), 20 (MAG) AND 99 (GIO) WILL BE INVESTIGATED AFTER THE RACE",post_session_investigation,6|20|99,3,,,other
4795,2020-tus,Race,2020-09-13 08:07:13-07:00,46.0,PIT ENTRY INCIDENT INVOLVING CAR 7 (RAI) UNDER INVESTIGATION,investigation,7,1,Pit Lane,,other
4798,2020-tus,Race,2020-09-13 08:16:08-07:00,47.0,5 SECOND TIME PENALTY FOR CAR 7 (RAI) - CROSSING THE LINE AT PIT ENTRY,sanction_announced,7,1,Pit Lane,,other
4807,2021-abu,Race,2021-12-12 05:06:19-08:00,2.0,TURN 7 INCIDENT INVOLVING CARS 33 (VER) AND 44 (HAM) NO INVESTIGATION NECESSARY,no_investigation,33|44,2,Turn 7,,other
4838,2021-abu,Race,2021-12-12 06:00:41-08:00,39.0, INCIDENT INVOLVING CARS 22 (TSU) AND 14 (ALO) NOTED,noted,14|22,2,,,other
4840,2021-abu,Race,2021-12-12 06:01:58-08:00,40.0, INCIDENT INVOLVING CARS 22 (TSU) AND 14 (ALO) NO INVESTIGATION NECESSARY,no_investigation,14|22,2,,,other
4883,2021-aut,Race,2021-07-04 06:10:38-07:00,6.0,PIT ENTRY INCIDENT INVOLVING CAR 99 (GIO) UNDER INVESTIGATION - OVERTAKING BEFORE SC LINE,investigation,99,1,Pit Lane,,other
4885,2021-aut,Race,2021-07-04 06:12:25-07:00,7.0,5 SECOND TIME PENALTY FOR CAR 99 (GIO) - OVERTAKING WHILE THE SAFETY CAR IS DEPLOYED ,sanction_announced,99,1,,,other
4886,2021-aut,Race,2021-07-04 06:13:30-07:00,8.0,TURN 3 INCIDENT INVOLVING CAR 31 (OCO) NOTED,noted,31,1,Turn 3,,other
4887,2021-aut,Race,2021-07-04 06:14:41-07:00,9.0,TURN 3 INCIDENT INVOLVING CAR 31 (OCO) NO INVESTIGATION NECESSARY,no_investigation,31,1,Turn 3,,other
4888,2021-aut,Race,2021-07-04 06:15:28-07:00,10.0,TURN 4 INCIDENT INVOLVING CARS 4 (NOR) AND 11 (PER) NOTED ,noted,4|11,2,Turn 4,,other
4889,2021-aut,Race,2021-07-04 06:18:48-07:00,13.0,TURN 4 INCIDENT INVOLVING CARS 4 (NOR) AND 11 (PER) UNDER INVESTIGATION ,investigation,4|11,2,Turn 4,,other
4891,2021-aut,Race,2021-07-04 06:23:38-07:00,17.0,INCIDENT INVOLVING CAR 22 (TSU) UNDER INVESTIGATION - CROSSING WHITE LINE AT PIT ENTRY,investigation,22,1,Pit Lane,,other
4892,2021-aut,Race,2021-07-04 06:26:58-07:00,20.0,5 SECOND TIME PENALTY FOR CAR 4 (NOR) - FORCING ANOTHER DRIVER OFF THE TRACK,sanction_announced,4,1,,,forcing_off_track
4893,2021-aut,Race,2021-07-04 06:29:32-07:00,22.0,5 SECOND TIME PENALTY FOR CAR 22 (TSU) - CROSSING THE LINE AT PIT ENTRY,sanction_announced,22,1,Pit Lane,,other
4918,2021-aut,Race,2021-07-04 06:52:37-07:00,42.0,TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 16 (LEC) UNDER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,investigation,11|16,2,Turn 4,,forcing_off_track
4919,2021-aut,Race,2021-07-04 06:53:23-07:00,42.0,5 SECOND TIME PENALTY FOR CAR 11 (PER) - FORCING ANOTHER DRIVER OFF THE TRACK,sanction_announced,11,1,,,forcing_off_track
4928,2021-aut,Race,2021-07-04 06:59:17-07:00,48.0,TURN 6 INCIDENT INVOLVING CARS 11 (PER) AND 16 (LEC) NOTED,noted,11|16,2,Turn 6,,other
4931,2021-aut,Race,2021-07-04 07:00:13-07:00,48.0,TURN 6 INCIDENT INVOLVING CARS 11 (PER) AND 16 (LEC) UNDER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,investigation,11|16,2,Turn 6,,forcing_off_track
4936,2021-aut,Race,2021-07-04 07:04:14-07:00,52.0,5 SECOND TIME PENALTY FOR CAR 11 (PER) - FORCING ANOTHER DRIVER OFF THE TRACK,sanction_announced,11,1,,,forcing_off_track
4939,2021-aut,Race,2021-07-04 07:06:28-07:00,54.0,5 SECOND TIME PENALTY FOR CAR 18 (STR) - SPEEDING IN THE PIT LANE,sanction_announced,18,1,Pit Lane,,other
4941,2021-aut,Race,2021-07-04 07:07:55-07:00,55.0,CAR 22 (TSU) UNDER INVESTIGATION - CROSSING THE LINE AT PIT ENTRY,investigation,22,1,Pit Lane,,other
4942,2021-aut,Race,2021-07-04 07:09:20-07:00,56.0,5 SECOND TIME PENALTY FOR CAR 22 (TSU) - CROSSING THE LINE AT PIT ENTRY,sanction_announced,22,1,Pit Lane,,other
4991,2021-aut,Race,2021-07-04 07:28:49-07:00,71.0,TURN 5 INCIDENT INVOLVING CARS 7 (RAI) AND 5 (VET) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,5|7,2,Turn 5,,causing_collision
4992,2021-aut,Race,2021-07-04 07:30:37-07:00,71.0,TURN 5 INCIDENT INVOLVING CARS 5 (VET) AND 7 (RAI) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,5|7,2,Turn 5,,other
5056,2021-aze,Race,2021-06-06 06:37:10-07:00,49.0,CAR 6 (LAT) UNDER INVESTIGATION - NOT USING PIT LANE,investigation,6,1,Pit Lane,,other
5064,2021-aze,Race,2021-06-06 07:00:01-07:00,49.0,10 MINUTE WARNING,sanction_announced,,0,,,other
5067,2021-aze,Race,2021-06-06 07:09:02-07:00,49.0,10 SECOND STOP/GO PENALTY FOR CAR 6 (LAT) AFTER RACE RESUMPTION- FAILING TO DRIVE THROUGH PIT LANE,sanction_announced,6,1,Pit Lane,,other
5133,2021-bhr,Race,2021-03-28 08:17:34-07:00,5.0,TURN 3 INCIDENT INVOLVING CAR 9 (MAZ) NOTED,noted,9,1,Turn 3,,other
5134,2021-bhr,Race,2021-03-28 08:18:03-07:00,6.0,TURN 4 INCIDENT INVOLVING CAR 10 (GAS) NOTED,noted,10,1,Turn 4,,other
5135,2021-bhr,Race,2021-03-28 08:21:27-07:00,8.0,TURN 4 INCIDENT INVOLVING CAR 10 (GAS) - NO INVESTIGATION NECESSARY,no_investigation,10,1,Turn 4,,other
5136,2021-bhr,Race,2021-03-28 08:24:30-07:00,10.0,TURN 4 INCIDENT INVOLVING CARS 4 (NOR) AND 16 (LEC) NOTED - NO INVESTIGATION NECESSARY,no_investigation,4|16,2,Turn 4,,other
5149,2021-bhr,Race,2021-03-28 09:21:04-07:00,45.0,TURN 1 INCIDENT INVOLVING CARS 5 (VET) AND 31 (OCO) NOTED,noted,5|31,2,Turn 1,,other
5156,2021-bhr,Race,2021-03-28 09:24:42-07:00,47.0,TURN 1 INCIDENT INVOLVING CARS 5 (VET) AND 31 (OCO) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,5|31,2,Turn 1,,causing_collision
5164,2021-bhr,Race,2021-03-28 09:31:14-07:00,51.0,10 SECOND TIME PENALTY FOR CAR 5 (VET) - CAUSING A COLLISION,sanction_announced,5,1,,,causing_collision
5200,2021-emi,Race,2021-04-18 06:18:59-07:00,8.0,LAP 1 TURN 2 INCIDENT INVOLVING CARS 33 (VER) AND 44 (HAM) NOTED ,noted,33|44,2,Turn 2,1.0,other
5201,2021-emi,Race,2021-04-18 06:22:15-07:00,10.0,LAP 1 - TURN 2 INCIDENT INVOLVING CARS 33 (VER) AND 44 (HAM) - NO INVESTIGATION NECESSARY,no_investigation,33|44,2,Turn 2,1.0,other
5204,2021-emi,Race,2021-04-18 06:23:03-07:00,10.0,LAP 1 - TURN 14 INCIDENT INVOLVING CARS 6 (LAT) AND 9 (MAZ) - NO INVESTIGATION NECESSARY,no_investigation,6|9,2,Turn 14,1.0,other
5205,2021-emi,Race,2021-04-18 06:24:20-07:00,11.0,TURN 9 INCIDENT INVOLVING CAR 11 (PER) UNDER INVESTIGATION - OVERTAKING WHILE THE SAFETY CAR IS DEPLOYED ,investigation,11,1,Turn 9,,other
5206,2021-emi,Race,2021-04-18 06:25:23-07:00,12.0,10 SECOND TIME PENALTY FOR CAR 11 (PER) - OVERTAKING WHILE THE SAFETY CAR IS DEPLOYED ,sanction_announced,11,1,,,other
5230,2021-emi,Race,2021-04-18 06:39:42-07:00,22.0,10 SECOND STOP/GO PENALTY FOR CAR 5 (VET) - WHEELS NOT FITTED AT THE 5 MINUTES SIGNAL,sanction_announced,5,1,,,other
5279,2021-emi,Race,2021-04-18 07:05:21-07:00,34.0,TURN 2 INCIDENT INVOLVING CAR 77 (BOT) AND CAR 63 (RUS) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,63|77,2,Turn 2,,other
5307,2021-emi,Race,2021-04-18 07:54:32-07:00,55.0,INCIDENT INVOLVING CAR 7 (RAI) WILL BE INVESTIGATED AFTER THE RACE - ROLLING START PROCEDURE INFRINGEMENT,post_session_investigation,7,1,,,other
5308,2021-emi,Race,2021-04-18 07:54:50-07:00,55.0,5 SECOND TIME PENALTY FOR CAR 22 (TSU) - TRACK LIMITS,sanction_announced,22,1,,,track_limits
5323,2021-esp,Race,2021-05-09 06:08:22-07:00,4.0,INCIDENT INVOLVING CAR 10 (GAS) UNDER INVESTIGATION - OUT OF POSITION AT THE START,investigation,10,1,,,other
5333,2021-esp,Race,2021-05-09 06:20:07-07:00,11.0,5 SECOND TIME PENALTY FOR CAR 10 (GAS) - OUT OF POSITION AT THE START,sanction_announced,10,1,,,other
5384,2021-esp,Race,2021-05-09 07:30:16-07:00,62.0,TURN 1 INCIDENT INVOLVING CARS 14 (ALO) AND 18 (STR) UNDER INVESTIGATION,investigation,14|18,2,Turn 1,,other
5403,2021-fra,Race,2021-06-20 06:04:50-07:00,1.0,TURN 2 INCIDENT INVOLVING CAR 33 (VER) NOTED - NO INVESTIGATION NECESSARY,no_investigation,33,1,Turn 2,,other
5413,2021-fra,Race,2021-06-20 06:52:18-07:00,30.0,TURN 11 INCIDENT INVOLVING CARS 4 (NOR) AND 10 (GAS) NOTED ,noted,4|10,2,Turn 11,,other
5414,2021-fra,Race,2021-06-20 06:54:19-07:00,31.0,TURN 11 INCIDENT INVOLVING CARS 4 (NOR) AND 10 (GAS) - NO INVESTIGATION NECESSARY,no_investigation,4|10,2,Turn 11,,other
5436,2021-fra,Race,2021-06-20 07:25:38-07:00,50.0,TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 77 (BOT) NOTED,noted,11|77,2,Turn 11,,other
5438,2021-fra,Race,2021-06-20 07:27:35-07:00,51.0,TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 77 (BOT) UNDER INVESTIGATION,investigation,11|77,2,Turn 11,,other
5445,2021-fra,Race,2021-06-20 07:32:08-07:00,53.0,TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 77 (BOT) - NO FURTHER ACTION,no_further_action,11|77,2,Turn 11,,other
5463,2021-gbr,Race,2021-07-18 07:14:50-07:00,3.0,TURN 9 INCIDENT INVOLVING CARS 33 (VER) AND 44 (HAM) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,33|44,2,Turn 9,,causing_collision
5471,2021-gbr,Race,2021-07-18 07:47:56-07:00,5.0,10 SECOND TIME PENALTY FOR CAR 44 (HAM) - CAUSING A COLLISION,sanction_announced,44,1,,,causing_collision
5502,2021-gbr,Race,2021-07-18 08:55:57-07:00,49.0,TURN 17 INCIDENT INVOLVING CARS 7 (RAI) AND 11 (PER) NOTED,noted,7|11,2,Turn 17,,other
5505,2021-gbr,Race,2021-07-18 08:57:03-07:00,49.0,TURN 17 INCIDENT INVOLVING CARS 7 (RAI) AND 11 (PER) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,7|11,2,Turn 17,,other
5526,2021-gbr,Sprint,2021-07-17 08:37:58-07:00,3.0,TURN 3 INCIDENT INVOLVING CARS 9 (MAZ) AND 47 (MSC) NOTED - NO INVESTIGATION NECESSARY,no_investigation,9|47,2,Turn 3,,other
5527,2021-gbr,Sprint,2021-07-17 08:38:34-07:00,4.0,TURN 6 INCIDENT INVOLVING CARS 63 (RUS) AND 55 (SAI) NOTED,noted,55|63,2,Turn 6,,other
5529,2021-gbr,Sprint,2021-07-17 08:42:07-07:00,6.0,TURN 6 INCIDENT INVOLVING CARS 63 (RUS) AND 55 (SAI) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,55|63,2,Turn 6,,causing_collision
5531,2021-gbr,Sprint,2021-07-17 08:44:41-07:00,8.0,TURN 6 INCIDENT INVOLVING CARS 63 (RUS) AND 55 (SAI) - WILL BE INVESTIGATED AFTER THE SESSION,post_session_investigation,55|63,2,Turn 6,,other
5561,2021-hun,Race,2021-08-01 06:12:57-07:00,3.0,TURN 1 INCIDENTS UNDER INVESTIGATION,investigation,,0,Turn 1,,other
