source_message_index,event_id,session_type,message_timestamp,message_lap,message,process_status,car_numbers,car_count,location,incident_lap_explicit,incident_family
693,2018-chn,Race,2018-04-15 00:52:15-07:00,56.0,TURN 3 INCIDENT INVOLVING CARS 5 (VET) AND 14 (ALO) - NO INVESTIGATION NECESSARY,no_investigation,5|14,2,Turn 3,,other
785,2018-deu,Race,2018-07-22 07:34:32-07:00,59.0,INCIDENT INVOLVING CAR 55 (SAI) UNDER INVESTIGATION - OVERTAKING WHILE THE SAFETY CAR WAS DEPLOYED,investigation,55,1,,,other
788,2018-deu,Race,2018-07-22 07:39:03-07:00,62.0,10 SECOND TIME PENALTY FOR CAR 55 (SAI) - OVERTAKING WHILE THE SAFETY CAR WAS DEPLOYED,sanction_announced,55,1,,,other
796,2018-esp,Race,2018-05-13 06:24:10-07:00,5.0,TURN 3 INCIDENT INVOLVING CAR 8 (GRO) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,8,1,Turn 3,,other
801,2018-esp,Race,2018-05-13 06:29:41-07:00,9.0,TURN 2 INCIDENT INVOLVING CAR 2 (VAN) UNDER INVESTIGATION - FAILING TO STAY TO THE LEFT OF THE BOLLARD AT TURN 2,investigation,2,1,Turn 2,,other
802,2018-esp,Race,2018-05-13 06:30:46-07:00,10.0,5 SECOND TIME PENALTY FOR CAR 2 (VAN) - FAILING TO STAY TO THE LEFT OF THE BOLLARD AT TURN 2 ON LAP 1,sanction_announced,2,1,Turn 2,,other
888,2018-fra,Race,2018-06-24 07:18:08-07:00,2.0,INCIDENT INVOLVING CARS 5 (VET) AND 77 (BOT) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,5|77,2,,,causing_collision
890,2018-fra,Race,2018-06-24 07:19:09-07:00,3.0,INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,10|31,2,,,causing_collision
892,2018-fra,Race,2018-06-24 07:23:14-07:00,5.0,INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,10|31,2,,,other
902,2018-fra,Race,2018-06-24 07:31:55-07:00,9.0,5 SECOND TIME PENALTY FOR CAR 5 (VET) - CAUSING A COLLISION,sanction_announced,5,1,,,causing_collision
903,2018-fra,Race,2018-06-24 07:36:20-07:00,12.0,LAP 1 TURN 4 INCIDENT INVOLVING CAR 8 (GRO) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,investigation,8,1,Turn 4,1.0,gaining_advantage_off_track
904,2018-fra,Race,2018-06-24 07:42:10-07:00,16.0,INCIDENT INVOLVING CAR 35 (SIR) UNDER INVESTIGATION - DRIVING UNNECESSARILY SLOWLY BEHIND THE SAFETY CAR,investigation,35,1,,,other
905,2018-fra,Race,2018-06-24 07:59:49-07:00,27.0,5 SECOND TIME PENALTY FOR CAR 35 (SIR) - DRIVING UNNECESSARILY SLOWLY BEHIND THE SAFETY CAR,sanction_announced,35,1,,,other
906,2018-fra,Race,2018-06-24 08:00:47-07:00,27.0,LAP 1 TURN 4 INCIDENT INVOLVING CAR 8 (GRO) - NO FURTHER ACTION,no_further_action,8,1,Turn 4,1.0,other
907,2018-fra,Race,2018-06-24 08:06:24-07:00,31.0,LAP 1 TURN 1 INCIDENT INVOLVING CAR 8 (GRO) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,8,1,Turn 1,1.0,causing_collision
908,2018-fra,Race,2018-06-24 08:07:43-07:00,32.0,5 SECOND TIME PENALTY FOR CAR 8 (GRO) - CAUSING A COLLISION,sanction_announced,8,1,,,causing_collision
972,2018-gbr,Race,2018-07-08 06:17:01-07:00,3.0,TURN 3 INCIDENT UNDER INVESTIGATION,investigation,,0,Turn 3,,other
975,2018-gbr,Race,2018-07-08 06:22:55-07:00,7.0,10 SECOND TIME PENALTY FOR CAR 7 (RAI) - CAUSING A COLLISION,sanction_announced,7,1,,,causing_collision
976,2018-gbr,Race,2018-07-08 06:25:11-07:00,8.0,LAP 1 TURN 3 INCIDENT INVOLVING CARS 8 (GRO) AND 20 (MAG) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,8|20,2,Turn 3,1.0,causing_collision
977,2018-gbr,Race,2018-07-08 06:30:47-07:00,12.0,LAP 1 TURN 3 INCIDENT INVOLVING CARS 8 (GRO) AND 20 (MAG) - NO FURTHER ACTION,no_further_action,8|20,2,Turn 3,1.0,other
982,2018-gbr,Race,2018-07-08 06:49:52-07:00,24.0,LAP 18 INCIDENT INVOLVING CAR 16 (LEC) WILL BE INVESTIGATED AFTER THE RACE - CAR RELEASED IN AN UNSAFE CONDITION,post_session_investigation,16,1,,18.0,unsafe_release
1001,2018-gbr,Race,2018-07-08 07:20:11-07:00,40.0,LAP 38 TURN 9 INCIDENT INVOLVING CARS 8 (GRO) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,8|55,2,Turn 9,38.0,other
1016,2018-gbr,Race,2018-07-08 07:42:30-07:00,52.0,LAP 51 TURN 17 INCIDENT INVOLVING CARS 10 (GAS) AND 11 (PER) UNDER INVESTIGATION,investigation,10|11,2,Turn 17,51.0,other
1105,2018-hun,Race,2018-07-29 07:46:37-07:00,68.0,TURN 2 INCIDENT INVOLVING CARS 5 (VET) AND 77 (BOT) NOTED,noted,5|77,2,Turn 2,,other
1108,2018-hun,Race,2018-07-29 07:47:53-07:00,69.0,TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 77 (BOT) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,3|77,2,Turn 1,,other
1118,2018-ita,Race,2018-09-02 06:16:54-07:00,2.0,TURN 4 INCIDENT INVOLVING CARS 5 (VET) AND 44 (HAM) UNDER INVESTIGATION,investigation,5|44,2,Turn 4,,other
1124,2018-ita,Race,2018-09-02 06:22:40-07:00,6.0,TURN 4 INCIDENT INVOLVING CARS 5 (VET) AND 44 (HAM) - NO FURTHER ACTION,no_further_action,5|44,2,Turn 4,,other
1146,2018-ita,Race,2018-09-02 07:17:00-07:00,44.0,TURN 1 INCIDENT INVOLVING CARS 33 (VER) AND 77 (BOT) UNDER INVESTIGATION,investigation,33|77,2,Turn 1,,other
1148,2018-ita,Race,2018-09-02 07:18:59-07:00,45.0,5 SECOND TIME PENALTY FOR CAR 33 (VER) - CAUSING A COLLISION,sanction_announced,33,1,,,causing_collision
1164,2018-jpn,Race,2018-10-06 22:17:39-07:00,3.0,TURN 17 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) UNDER INVESTIGATION,investigation,7|33,2,Turn 17,,other
1167,2018-jpn,Race,2018-10-06 22:19:11-07:00,4.0,TURN 1 INCIDENT INVOLVING CARS 16 (LEC) AND 20 (MAG) UNDER INVESTIGATION,investigation,16|20,2,Turn 1,,other
1168,2018-jpn,Race,2018-10-06 22:21:46-07:00,5.0,5 SECOND TIME PENALTY FOR CAR 33 (VER) - LEAVING THE TRACK AND NOT RETURNING SAFELY.,sanction_announced,33,1,,,track_limits
1170,2018-jpn,Race,2018-10-06 22:25:58-07:00,7.0,TURN 16 INCIDENT INVOLVING CARS 14 (ALO) AND 18 (STR) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,investigation,14|18,2,Turn 16,,gaining_advantage_off_track
1177,2018-jpn,Race,2018-10-06 22:29:22-07:00,8.0,INCIDENT INVOLVING CARS 16 (LEC) AND 20 (MAG) - NO FURTHER ACTION,no_further_action,16|20,2,,,other
1178,2018-jpn,Race,2018-10-06 22:30:59-07:00,9.0,TURN 13 INCIDENT INVOLVING CARS 5 (VET) AND 33 (VER) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,5|33,2,Turn 13,,causing_collision
1180,2018-jpn,Race,2018-10-06 22:50:17-07:00,22.0,5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE,sanction_announced,14,1,,,gaining_advantage_off_track
1181,2018-jpn,Race,2018-10-06 22:50:34-07:00,22.0,5 SECOND TIME PENALTY FOR CAR 18 (STR) - CAUSING A COLLISION,sanction_announced,18,1,,,causing_collision
