harm_record_id,canonical_incident_key,event_id,session_type,participant_driver_number,reference_driver_number,incident_lap,matched_laps_before,matched_laps_after,pace_change_seconds_per_lap,pace_change_standard_error,pace_change_ci95_low,pace_change_ci95_high,same_compound_fraction,pace_screen_status,damage_confirmation_status,interpretation
3a6d254ad8b5efe7279b,referral-b56ea8038f408086,2022-hun,Race,3,4,47,4,8,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
9ec6e9af5e03bb98ad89,referral-b56ea8038f408086,2022-hun,Race,18,5,47,6,8,-0.5827083333333357,0.3349013988836225,-1.2391150751452358,0.07369840847856446,0.42857142857142855,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
fdad77b143c3dd5aafdb,referral-1634cab5349707ea,2022-mia,Race,47,20,48,0,5,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
e704ee28c2b838f5372c,referral-ab5ecffd4b1f535b,2022-mia,Race,18,5,47,1,6,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
4f1525dedd44f56503f3,referral-8fb16f079cf7e00b,2025-aze,Race,43,10,17,7,7,-0.2185714285714267,0.19797436788669256,-0.6066011896293442,0.16945833248649073,0.5,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
f0eb520ebd38055e959a,referral-f5b0ef6d99d368fc,2025-esp,Race,30,6,31,8,8,0.006874999999999076,0.32938755058766644,-0.6387245991518271,0.6524745991518253,1.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
e03dd04d9c263efbf768,referral-f5b0ef6d99d368fc,2025-esp,Race,87,31,31,8,6,-1.3044999999999973,0.6462964563757181,-2.571241054496405,-0.037758945503589825,1.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
f405f1245ddd7ef5147d,referral-39687112b09e6548,2025-gbr,Race,31,87,43,5,8,0.24077499999999896,0.30486098808074896,-0.356752536638269,0.8383025366382669,1.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
850d0ed4a70e338236a0,incident-src-8ac64d49533b4e49,2019-bhr,Race,99,7,12,4,6,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
04a4d16ebbd8df15b9a3,incident-src-a2465e3be559632e,2019-bhr,Race,99,7,12,4,6,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
